id,level_id,strand_id,book_code,title,slug,book_type,sequence_position,page_count,word_count,new_hfw,new_phonics,new_morpheme,comprehension_focus,reviewed_hfws,reviewed_phonics,teaching_summary,source_master,cover_image_url,pdf_url,audio_url,is_active
12,1,1,S-1-06,Nan. The Pin.,s-1-06-nan-the-pin,Soundable,12,8,29,,n /n/,,,"a, the, I","s, a, t, p, i",n /n/,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/s-1-06.webp,/assets/placeholders/pdfs/s-1-06.pdf,/assets/placeholders/audio/s-1-06.mp3,1
13,1,2,H-1-D,A Pan and a Tin,h-1-d-a-pan-and-a-tin,Hafwas Book,13,8,26,and,,,,"a, i, the",,and,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/h-1-d.webp,/assets/placeholders/pdfs/h-1-d.pdf,/assets/placeholders/audio/h-1-d.mp3,1
14,1,1,S-1-07,Sam and the Mat,s-1-07-sam-and-the-mat,Soundable,14,8,38,,m /m/,,,"a, the, I, and","s, a, t, p, i, n",m /m/,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/s-1-07.webp,/assets/placeholders/pdfs/s-1-07.pdf,/assets/placeholders/audio/s-1-07.mp3,1
15,1,3,T-1-04,The Pan and the Pot,t-1-04-the-pan-and-the-pot,Tafiya Fiction,15,8,38,,,,Connect objects,,,Connect objects,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/t-1-04.webp,/assets/placeholders/pdfs/t-1-04.pdf,/assets/placeholders/audio/t-1-04.mp3,1
16,1,3,T-1-05,Sam Sat,t-1-05-sam-sat,Tafiya Fiction,16,8,33,,,,Sequence actions,,,Sequence actions,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/t-1-05.webp,/assets/placeholders/pdfs/t-1-05.pdf,/assets/placeholders/audio/t-1-05.mp3,1
17,1,3,T-1-06,The Tin and the Pin,t-1-06-the-tin-and-the-pin,Tafiya Fiction,17,8,40,,,,Connect ideas,,,Connect ideas,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/t-1-06.webp,/assets/placeholders/pdfs/t-1-06.pdf,/assets/placeholders/audio/t-1-06.mp3,1
18,1,3,T-1-07,Sam and I,t-1-07-sam-and-i,Tafiya Fiction,18,8,45,,,,Understand friendship actions,,,Understand friendship actions,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/t-1-07.webp,/assets/placeholders/pdfs/t-1-07.pdf,/assets/placeholders/audio/t-1-07.mp3,1
19,2,2,H-2-A,Is,h-2-a-is,Hafwas Book,1,12,43,is,,,,"a, and, i, the",,is,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/h-2-a.webp,/assets/placeholders/pdfs/h-2-a.pdf,/assets/placeholders/audio/h-2-a.mp3,1
20,2,1,S-2-01,The Gap,s-2-01-the-gap,Soundable,2,12,67,,g /g/,,,"a, the, I, and, is","s, a, t, p, i, n, m",g /g/,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/s-2-01.webp,/assets/placeholders/pdfs/s-2-01.pdf,/assets/placeholders/audio/s-2-01.mp3,1
21,2,2,H-2-B,He,h-2-b-he,Hafwas Book,3,12,50,he,,,,"a, and, i, is, the",,he,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/h-2-b.webp,/assets/placeholders/pdfs/h-2-b.pdf,/assets/placeholders/audio/h-2-b.mp3,1
22,2,1,S-2-02,A Dog,s-2-02-a-dog,Soundable,4,12,53,,o /o/,,,"a, the, I, and, is, he","s, a, t, p, i, n, m, g",o /o/,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/s-2-02.webp,/assets/placeholders/pdfs/s-2-02.pdf,/assets/placeholders/audio/s-2-02.mp3,1
23,2,2,H-2-C,She,h-2-c-she,Hafwas Book,5,12,48,she,,,,"a, and, he, i, is, the",,she,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/h-2-c.webp,/assets/placeholders/pdfs/h-2-c.pdf,/assets/placeholders/audio/h-2-c.mp3,1
24,2,1,S-2-03,Pat the Cat,s-2-03-pat-the-cat,Soundable,6,12,51,,c /c/,,,"a, the, I, and, is, he, she","s, a, t, p, i, n, m, g, o",c /c/,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/s-2-03.webp,/assets/placeholders/pdfs/s-2-03.pdf,/assets/placeholders/audio/s-2-03.mp3,1
25,2,2,H-2-D,Was,h-2-d-was,Hafwas Book,7,12,46,was,,,,"a, and, he, i, is, she, the",,was,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/h-2-d.webp,/assets/placeholders/pdfs/h-2-d.pdf,/assets/placeholders/audio/h-2-d.mp3,1
26,2,1,S-2-04,Sani's Kit,s-2-04-sani-s-kit,Soundable,8,12,59,,k /k/,,,"a, the, I, and, is, he, she, was","s, a, t, p, i, n, m, g, o, c",k /k/,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/s-2-04.webp,/assets/placeholders/pdfs/s-2-04.pdf,/assets/placeholders/audio/s-2-04.mp3,1
27,2,2,H-2-E,His,h-2-e-his,Hafwas Book,9,12,34,his,,,,"a, and, he, i, is, she, the, was",,his,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/h-2-e.webp,/assets/placeholders/pdfs/h-2-e.pdf,/assets/placeholders/audio/h-2-e.mp3,1
28,2,2,H-2-F,To,h-2-f-to,Hafwas Book,10,12,48,to,,,,"a, and, he, his, i, is, she, the, was",,to,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/h-2-f.webp,/assets/placeholders/pdfs/h-2-f.pdf,/assets/placeholders/audio/h-2-f.mp3,1
29,2,1,S-2-05,Get a Pet,s-2-05-get-a-pet,Soundable,11,12,48,,e /e/,,,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k",e /e/,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/s-2-05.webp,/assets/placeholders/pdfs/s-2-05.pdf,/assets/placeholders/audio/s-2-05.mp3,1
30,2,1,S-2-06,The Pup,s-2-06-the-pup,Soundable,12,12,50,,u /u/,,,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e",u /u/,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/s-2-06.webp,/assets/placeholders/pdfs/s-2-06.pdf,/assets/placeholders/audio/s-2-06.mp3,1
31,2,1,S-2-07,Run Run Run,s-2-07-run-run-run,Soundable,13,12,49,,r /r/,,,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u",r /r/,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/s-2-07.webp,/assets/placeholders/pdfs/s-2-07.pdf,/assets/placeholders/audio/s-2-07.mp3,1
32,2,1,S-2-08,Sani's Hat,s-2-08-sani-s-hat,Soundable,14,12,52,,h /h/,,,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r",h /h/,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/s-2-08.webp,/assets/placeholders/pdfs/s-2-08.pdf,/assets/placeholders/audio/s-2-08.mp3,1
